Potential_E_V,k1_mA_per_mV_per_s,k2_mA_per_sqrt_mV_per_s,local_fit_R2
0.14790193120601228,0.0023209907361350026,0.010296741942263321,0.9909919269674882
0.14855670402138277,0.0023197300758917684,0.010402974591220459,0.9908020625074843
0.1492114768367533,0.002327126211810082,0.010440765648809698,0.9914133561245001
0.1498662496521238,0.0023327315940008687,0.010501195764412408,0.9916103636909122
0.1505210224674943,0.002340766938911251,0.010569286634821986,0.9918368250531423
0.15117579528286482,0.0023571119794860425,0.010630386625322508,0.9914190250031356
0.15183056809823534,0.0023730096810832195,0.010677608535795111,0.991319473703041
0.15248534091360583,0.002389421901712386,0.010706526587572133,0.9916476541383163
0.15314011372897635,0.0023941859069796486,0.010763799277084405,0.9917275908991999
0.15379488654434684,0.0023934755727531083,0.010855183687986561,0.9915093446430243
0.15444965935971736,0.0023875322823117178,0.010988374606369377,0.9916020325728054
0.15510443217508788,0.0023963582949411734,0.011063554856089198,0.9919458371347771
0.15575920499045837,0.0024105999431663634,0.011112860031286918,0.9921920085563348
0.15641397780582889,0.0024326498553855036,0.011122231896777324,0.992125892886405
0.1570687506211994,0.002447100015068926,0.011158326890544613,0.9924926957939423
0.1577235234365699,0.0024607210844289906,0.011197076036414701,0.9928504808893993
0.15837829625194041,0.0024675265231755275,0.011250490412298303,0.9924257339259553
0.15903306906731093,0.0024625418919027036,0.011347767114169188,0.9925239429835664
0.15968784188268142,0.0024600968235517335,0.011448463947934015,0.9926314047284165
0.16034261469805194,0.0024648421207841284,0.01154564072177186,0.9927246774542078
0.16099738751342244,0.002477483872853451,0.01158888071183951,0.9930569228093945
0.16165216032879295,0.0024886257150046574,0.0116320227427787,0.9928414835422187
0.16230693314416347,0.0025014197166279327,0.011697557997350684,0.9921980334281212
0.16296170595953396,0.002517081954604643,0.011734222777051396,0.9923252559485115
0.16361647877490448,0.0025324666871355136,0.01176203253590184,0.99293084617524
0.164271251590275,0.002535600939811002,0.011837395737145229,0.9933949672293636
0.1649260244056455,0.002533690771725901,0.011940816201456626,0.9934747773513765
0.165580797221016,0.0025281720376233454,0.012063395912152561,0.9931989327963444
0.1662355700363865,0.0025443170387154474,0.01208677929222583,0.9932395707835849
0.16689034285175702,0.0025563718309857078,0.012123431827514545,0.9935915124033864
0.16754511566712754,0.0025653373805809084,0.01217609735655343,0.9939720069794384
0.16819988848249803,0.0025787619375266437,0.012258251301975855,0.9932616278784873
